ticket_id,opened_at,cloud,category,priority,summary,status,assignment_group,resolution_hours,sla_met,root_cause,resolution
CLD-00260,2026-01-30T21:00:00,Azure,Database,P4,Azure database operational issue,Resolved,Cloud Operations,18.66,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00261,2026-04-02T12:00:00,Azure,Security,P4,Azure security operational issue,Resolved,Cloud Operations,19.33,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00262,2026-04-22T10:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,21.8,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00263,2026-06-20T11:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,2.81,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00264,2026-01-30T11:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,4.94,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00265,2026-04-23T19:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,19.27,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00266,2026-01-29T00:00:00,AWS,Network,P2,AWS network operational issue,Resolved,Cloud Operations,5.23,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00267,2026-05-31T16:00:00,AWS,Compute,P2,AWS compute operational issue,Resolved,Cloud Operations,5.36,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00268,2026-04-09T16:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,14.84,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00269,2026-04-11T09:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,11.19,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00270,2026-03-08T02:00:00,Azure,Database,P1,Azure database operational issue,Resolved,Cloud Operations,5.33,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00271,2026-03-01T10:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,6.45,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00272,2026-04-02T04:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,32.71,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00273,2026-06-01T03:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,2.43,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00274,2026-03-15T01:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,14.34,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00275,2026-05-20T15:00:00,Azure,Backup,P2,Azure backup operational issue,Resolved,Cloud Operations,6.14,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00276,2026-03-06T23:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,30.92,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00277,2026-03-19T23:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,26.12,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00278,2026-06-12T22:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,38.21,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00279,2026-04-09T20:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,10.45,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00280,2026-04-03T17:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,16.28,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00281,2026-01-12T09:00:00,AWS,Cost,P4,AWS cost operational issue,Resolved,Cloud Operations,32.52,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00282,2026-04-01T10:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,26.22,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00283,2026-03-07T17:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,27.34,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00284,2026-02-12T00:00:00,AWS,Storage,P2,AWS storage operational issue,Resolved,Cloud Operations,0.9,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00285,2026-02-18T00:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,20.12,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00286,2026-01-16T12:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,9.83,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00287,2026-03-28T08:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,33.61,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00288,2026-02-09T01:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,28.04,No,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00289,2026-03-05T20:00:00,Azure,Storage,P4,Azure storage operational issue,Resolved,Cloud Operations,32.78,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00290,2026-06-04T17:00:00,Azure,Database,P4,Azure database operational issue,Resolved,Cloud Operations,3.68,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00291,2026-02-15T15:00:00,Azure,Network,P3,Azure network operational issue,Resolved,Cloud Operations,37.59,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00292,2026-06-06T12:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,32.56,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00293,2026-04-24T09:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,3.05,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00294,2026-02-16T15:00:00,AWS,Storage,P4,AWS storage operational issue,Resolved,Cloud Operations,35.26,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00295,2026-05-15T13:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,30.17,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00296,2026-01-30T02:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,1.31,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00297,2026-04-13T13:00:00,AWS,Cost,P2,AWS cost operational issue,Resolved,Cloud Operations,10.53,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00298,2026-02-24T07:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,22.81,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00299,2026-01-25T17:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,17.13,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00300,2026-05-06T18:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,39.11,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00301,2026-02-26T12:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,10.85,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00302,2026-06-06T17:00:00,Azure,Identity,P4,Azure identity operational issue,Resolved,Cloud Operations,9.26,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00303,2026-03-11T05:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,3.47,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00304,2026-03-29T03:00:00,Azure,Terraform,P1,Azure terraform operational issue,Resolved,Cloud Operations,4.77,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00305,2026-03-17T00:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,23.49,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00306,2026-04-15T06:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,26.42,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00307,2026-06-24T19:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,35.71,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00308,2026-01-31T12:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,13.65,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00309,2026-04-21T06:00:00,Azure,Compute,P2,Azure compute operational issue,Resolved,Cloud Operations,0.37,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00310,2026-02-27T11:00:00,AWS,Terraform,P4,AWS terraform operational issue,Resolved,Cloud Operations,5.42,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00311,2026-02-23T17:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,6.22,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00312,2026-06-26T07:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,28.06,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00313,2026-06-15T05:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,32.31,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00314,2026-01-23T11:00:00,AWS,Backup,P2,AWS backup operational issue,Resolved,Cloud Operations,11.16,No,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00315,2026-02-26T15:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,32.86,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00316,2026-06-23T11:00:00,Azure,Security,P2,Azure security operational issue,Resolved,Cloud Operations,3.0,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00317,2026-06-06T16:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,32.41,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00318,2026-06-27T16:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,25.46,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00319,2026-05-09T15:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,39.61,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00320,2026-06-17T16:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,38.81,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00321,2026-03-06T01:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,13.05,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00322,2026-05-08T06:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,8.6,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00323,2026-03-11T16:00:00,Azure,Network,P4,Azure network operational issue,Resolved,Cloud Operations,18.44,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00324,2026-03-16T10:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,23.71,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00325,2026-04-09T04:00:00,Azure,Cost,P4,Azure cost operational issue,Resolved,Cloud Operations,5.38,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00326,2026-04-28T16:00:00,Azure,Identity,P4,Azure identity operational issue,Resolved,Cloud Operations,31.24,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00327,2026-04-14T22:00:00,Azure,Identity,P2,Azure identity operational issue,Resolved,Cloud Operations,0.51,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00328,2026-03-22T18:00:00,Azure,Cost,P4,Azure cost operational issue,Resolved,Cloud Operations,12.44,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00329,2026-04-04T14:00:00,Azure,Database,P1,Azure database operational issue,Resolved,Cloud Operations,7.58,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00330,2026-02-19T11:00:00,AWS,Backup,P3,AWS backup operational issue,Resolved,Cloud Operations,33.33,No,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00331,2026-04-28T07:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,21.4,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00332,2026-06-24T12:00:00,AWS,Compute,P2,AWS compute operational issue,Resolved,Cloud Operations,8.62,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00333,2026-03-20T23:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,32.59,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00334,2026-02-23T06:00:00,AWS,Cost,P4,AWS cost operational issue,Resolved,Cloud Operations,7.13,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00335,2026-03-28T11:00:00,AWS,Storage,P2,AWS storage operational issue,Resolved,Cloud Operations,5.53,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00336,2026-03-06T04:00:00,AWS,Cost,P3,AWS cost operational issue,Resolved,Cloud Operations,15.28,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00337,2026-04-09T00:00:00,AWS,Monitoring,P4,AWS monitoring operational issue,Resolved,Cloud Operations,16.53,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00338,2026-02-18T19:00:00,Azure,Storage,P2,Azure storage operational issue,Resolved,Cloud Operations,5.97,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00339,2026-02-21T21:00:00,AWS,Compute,P2,AWS compute operational issue,Resolved,Cloud Operations,1.4,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00340,2026-04-05T01:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,4.27,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00341,2026-06-24T22:00:00,Azure,Storage,P3,Azure storage operational issue,Resolved,Cloud Operations,8.99,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00342,2026-02-02T00:00:00,Azure,Network,P3,Azure network operational issue,Resolved,Cloud Operations,11.0,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00343,2026-01-09T10:00:00,AWS,Compute,P2,AWS compute operational issue,Resolved,Cloud Operations,6.11,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00344,2026-05-09T22:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,14.0,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00345,2026-05-24T05:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,11.44,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00346,2026-04-15T23:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,33.78,No,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00347,2026-01-02T11:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,29.8,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00348,2026-06-14T15:00:00,Azure,Network,P3,Azure network operational issue,Resolved,Cloud Operations,21.05,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00349,2026-04-16T20:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,29.44,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00350,2026-02-27T15:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,33.87,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00351,2026-03-09T06:00:00,AWS,Backup,P4,AWS backup operational issue,Resolved,Cloud Operations,2.74,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00352,2026-06-14T15:00:00,AWS,Terraform,P2,AWS terraform operational issue,Resolved,Cloud Operations,9.91,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00353,2026-06-27T15:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,5.7,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00354,2026-01-11T02:00:00,Azure,Storage,P2,Azure storage operational issue,Resolved,Cloud Operations,11.81,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00355,2026-03-12T11:00:00,Azure,Storage,P2,Azure storage operational issue,Resolved,Cloud Operations,1.25,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00356,2026-03-19T00:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,3.46,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00357,2026-03-26T01:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,31.56,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00358,2026-06-09T05:00:00,Azure,Security,P3,Azure security operational issue,Resolved,Cloud Operations,1.7,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00359,2026-03-03T02:00:00,Azure,Network,P3,Azure network operational issue,Resolved,Cloud Operations,37.91,No,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00360,2026-03-16T02:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,36.89,No,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00361,2026-04-27T15:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,4.54,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00362,2026-01-06T05:00:00,AWS,Terraform,P3,AWS terraform operational issue,Resolved,Cloud Operations,9.37,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00363,2026-04-17T15:00:00,Azure,Compute,P2,Azure compute operational issue,Resolved,Cloud Operations,1.55,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00364,2026-03-15T03:00:00,AWS,Security,P2,AWS security operational issue,Resolved,Cloud Operations,7.55,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00365,2026-04-10T00:00:00,AWS,Database,P3,AWS database operational issue,Resolved,Cloud Operations,7.21,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00366,2026-02-13T17:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,23.59,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00367,2026-05-26T04:00:00,Azure,Monitoring,P3,Azure monitoring operational issue,Resolved,Cloud Operations,11.0,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00368,2026-02-14T03:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,2.59,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00369,2026-04-04T21:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,8.52,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00370,2026-06-17T14:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,20.51,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00371,2026-05-13T19:00:00,AWS,Security,P4,AWS security operational issue,Resolved,Cloud Operations,31.26,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00372,2026-05-04T13:00:00,AWS,Terraform,P4,AWS terraform operational issue,Resolved,Cloud Operations,38.3,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00373,2026-04-26T14:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,22.27,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00374,2026-06-03T02:00:00,AWS,Terraform,P2,AWS terraform operational issue,Resolved,Cloud Operations,10.37,No,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00375,2026-01-28T21:00:00,AWS,Database,P4,AWS database operational issue,Resolved,Cloud Operations,18.92,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00376,2026-04-21T12:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,5.71,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00377,2026-03-31T14:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,5.87,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00378,2026-01-13T10:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,27.19,No,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00379,2026-04-09T02:00:00,AWS,Storage,P4,AWS storage operational issue,Resolved,Cloud Operations,0.86,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00380,2026-06-23T20:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,11.67,Yes,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00381,2026-04-10T19:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,38.52,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00382,2026-01-19T11:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,11.15,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00383,2026-06-26T17:00:00,AWS,Storage,P4,AWS storage operational issue,Resolved,Cloud Operations,29.48,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00384,2026-05-09T18:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,7.51,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00385,2026-02-15T18:00:00,Azure,Backup,P4,Azure backup operational issue,Resolved,Cloud Operations,11.59,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00386,2026-06-19T17:00:00,Azure,Backup,P3,Azure backup operational issue,Resolved,Cloud Operations,28.61,No,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00387,2026-03-10T22:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,33.27,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00388,2026-02-22T07:00:00,AWS,Network,P3,AWS network operational issue,Resolved,Cloud Operations,6.2,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00389,2026-04-17T22:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,22.11,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00390,2026-06-27T23:00:00,Azure,Storage,P2,Azure storage operational issue,Resolved,Cloud Operations,6.98,Yes,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00391,2026-03-29T07:00:00,AWS,Security,P3,AWS security operational issue,Resolved,Cloud Operations,23.73,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00392,2026-01-12T15:00:00,AWS,Identity,P3,AWS identity operational issue,Resolved,Cloud Operations,34.42,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00393,2026-03-11T09:00:00,Azure,Security,P3,Azure security operational issue,Resolved,Cloud Operations,8.16,Yes,Security configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00394,2026-05-17T03:00:00,Azure,Compute,P4,Azure compute operational issue,Resolved,Cloud Operations,20.09,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00395,2026-01-18T07:00:00,Azure,Database,P4,Azure database operational issue,Resolved,Cloud Operations,31.98,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00396,2026-03-02T06:00:00,AWS,Compute,P3,AWS compute operational issue,Resolved,Cloud Operations,30.57,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00397,2026-02-12T16:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,7.41,Yes,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00398,2026-04-13T11:00:00,Azure,Database,P3,Azure database operational issue,Resolved,Cloud Operations,16.09,Yes,Database configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
